,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
355,1704564214.41002,9,4.272471910112359,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
356,1704564216.599406,11,4.291316526610644,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
357,1704564220.025517,17,4.326815642458101,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
358,1704564222.984068,17,4.362116991643454,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
359,1704564223.60858,4,4.361111111111111,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
360,1704564224.174987,4,4.360110803324099,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
361,1704564224.857419,4,4.359116022099448,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
362,1704564226.471788,8,4.369146005509642,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
363,1704564229.440616,15,4.398351648351649,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
364,1704564231.433422,8,4.4082191780821915,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
365,1704564240.829366,11,4.426229508196721,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
366,1704564247.886339,7,4.433242506811989,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
367,1704564255.505837,7,4.440217391304348,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
368,1704564269.232731,18,4.476964769647696,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
369,1704564272.661634,15,4.505405405405406,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
370,1704564274.452254,10,4.520215633423181,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
371,1704564274.897119,4,4.518817204301075,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
372,1704564276.528882,11,4.536193029490617,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
373,1704564277.057567,5,4.537433155080214,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
374,1704564278.715041,10,4.552,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
375,1704564279.408153,5,4.553191489361702,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
376,1704564280.85956,9,4.56498673740053,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
377,1704564282.500092,5,4.5661375661375665,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
378,1704564283.919995,5,4.567282321899736,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
